30 thg 9 2022 - 16:52:41.109 [restartedMain] INFO  com.mgz.SpringFlywayApplication - Starting SpringFlywayApplication using Java 18.0.2 on MRTAM with PID 15612 (C:\Users\Administrator\Desktop\MGZ\Spring_Flyway\target\classes started by Administrator in C:\Users\Administrator\Desktop\MGZ\Spring_Flyway)
30 thg 9 2022 - 16:52:41.112 [restartedMain] INFO  com.mgz.SpringFlywayApplication - No active profile set, falling back to 1 default profile: "default"
30 thg 9 2022 - 16:52:41.315 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
30 thg 9 2022 - 16:52:41.316 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
30 thg 9 2022 - 16:52:44.558 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
30 thg 9 2022 - 16:52:44.866 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 245 ms. Found 3 JPA repository interfaces.
30 thg 9 2022 - 16:52:47.698 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
30 thg 9 2022 - 16:52:47.736 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
30 thg 9 2022 - 16:52:47.752 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
30 thg 9 2022 - 16:52:48.002 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
30 thg 9 2022 - 16:52:48.005 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6687 ms
30 thg 9 2022 - 16:52:48.140 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
30 thg 9 2022 - 16:52:49.451 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
30 thg 9 2022 - 16:52:49.471 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/springflyway'
30 thg 9 2022 - 16:52:50.592 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 8.5.13 by Redgate
30 thg 9 2022 - 16:52:50.595 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - See what's new here: https://flywaydb.org/documentation/learnmore/releaseNotes#8.5.13
30 thg 9 2022 - 16:52:50.596 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - 
30 thg 9 2022 - 16:52:50.695 [restartedMain] INFO  o.f.c.i.d.base.BaseDatabaseType - Database: jdbc:mysql://localhost:3306/springflyway (MySQL 8.0)
30 thg 9 2022 - 16:52:50.810 [restartedMain] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.047s)
30 thg 9 2022 - 16:52:50.843 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `springflyway`: 2
30 thg 9 2022 - 16:52:50.857 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema `springflyway` is up to date. No migration necessary.
30 thg 9 2022 - 16:52:51.071 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
30 thg 9 2022 - 16:52:51.198 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.10.Final
30 thg 9 2022 - 16:52:51.570 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
30 thg 9 2022 - 16:52:51.856 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
30 thg 9 2022 - 16:52:53.379 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
30 thg 9 2022 - 16:52:53.395 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
30 thg 9 2022 - 16:52:54.631 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12e40d3d, org.springframework.security.web.context.SecurityContextPersistenceFilter@1c3c174b, org.springframework.security.web.header.HeaderWriterFilter@5e1f7b52, org.springframework.security.web.authentication.logout.LogoutFilter@60754436, com.mgz.jwt.JwtTokenFilter@2801a003, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6f950018, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@656a402c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@55f798c4, org.springframework.security.web.session.SessionManagementFilter@2ecb1eae, org.springframework.security.web.access.ExceptionTranslationFilter@ee8ba5a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@d8059fd]
30 thg 9 2022 - 16:52:54.667 [restartedMain] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/api/auth/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
30 thg 9 2022 - 16:52:54.667 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api/auth/**']
